epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9979,2.55692,5.20324,1.64972,0.00025,0.04556,0.02175,0.01923,2.46307,5.61922,1.44913,0.000349759,0.000349759,0.000349759
2,38.0933,2.39209,4.68973,1.4687,0.00028,0.06219,0.00117,0.00018,2.48561,5.30111,1.50066,0.00069633,0.00069633,0.00069633
3,60.0474,2.21745,3.92465,1.38301,0.00099,0.19929,0.00302,0.00077,2.7161,5.02309,1.7465,0.00101846,0.00101846,0.00101846
4,82.1092,2.25103,3.82613,1.4429,0.81085,0.01,0.01478,0.00384,2.55272,5.12234,1.77391,0.00100101,0.00100101,0.00100101
5,104.203,2.21191,3.59347,1.41819,0.00184,0.42884,0.06898,0.03766,2.47827,11.6595,1.65642,0.000964348,0.000964348,0.000964348
6,126.007,2.24223,3.44386,1.42784,0.45164,0.12262,0.08159,0.01809,2.36339,4.78778,1.45262,0.000927685,0.000927685,0.000927685
7,147.577,2.10804,3.07775,1.35725,0.81829,0.0269,0.03076,0.01105,2.45101,5.33544,1.55663,0.000891022,0.000891022,0.000891022
8,169.234,2.15654,2.99715,1.38655,0.2042,0.0669,0.06061,0.01798,2.33535,4.76803,1.48985,0.000854359,0.000854359,0.000854359
9,190.607,2.14487,2.79432,1.40214,0.50557,0.24187,0.20071,0.08493,2.28926,4.54585,1.46024,0.000817696,0.000817696,0.000817696
10,212.319,2.06672,2.52971,1.35247,0.4808,0.24594,0.27622,0.09773,2.39763,3.69074,1.47665,0.000781033,0.000781033,0.000781033
11,233.898,2.08735,2.48964,1.31007,0.6458,0.29574,0.43223,0.19055,2.32024,2.90406,1.44233,0.00074437,0.00074437,0.00074437
12,255.74,2.04078,2.35754,1.32515,0.50491,0.34974,0.4384,0.18682,2.24407,2.88518,1.43012,0.000707707,0.000707707,0.000707707
13,277.81,1.87668,2.25973,1.32943,0.49217,0.48868,0.45087,0.18938,2.24967,2.60956,1.4543,0.000671044,0.000671044,0.000671044
14,300.249,2.00375,2.21886,1.3143,0.61839,0.49695,0.57465,0.2444,2.20148,2.63168,1.4115,0.000634381,0.000634381,0.000634381
15,322.061,1.97179,2.12897,1.29531,0.71462,0.4859,0.59951,0.25631,2.07549,2.52536,1.4031,0.000597718,0.000597718,0.000597718
16,356.442,1.90285,2.04232,1.31208,0.62908,0.6469,0.63441,0.25373,2.08568,2.25155,1.39998,0.000561055,0.000561055,0.000561055
17,388.846,1.99938,2.25479,1.34458,0.59123,0.57664,0.57144,0.24825,2.13156,2.30995,1.43209,0.000524392,0.000524392,0.000524392
18,421.339,1.86602,2.02125,1.2975,0.50256,0.58068,0.60559,0.27492,2.10032,2.33654,1.38951,0.000487729,0.000487729,0.000487729
19,10673.8,1.85399,1.83198,1.27101,0.74085,0.64765,0.70451,0.30001,2.12091,2.0303,1.39238,0.000451066,0.000451066,0.000451066
20,10726.1,1.84923,1.85687,1.25032,0.68599,0.66899,0.74453,0.31109,2.10702,2.01714,1.40114,0.000414403,0.000414403,0.000414403
21,10764.8,1.93104,1.84206,1.33738,0.67409,0.67188,0.72637,0.31187,2.03895,1.89619,1.378,0.00037774,0.00037774,0.00037774
22,10801.1,1.85295,1.78366,1.2754,0.7607,0.66778,0.73516,0.31665,2.06982,1.85724,1.35875,0.000341077,0.000341077,0.000341077
23,10837.2,1.79874,1.71386,1.27131,0.79723,0.65845,0.74219,0.33635,2.01227,1.74542,1.34652,0.000304414,0.000304414,0.000304414
24,10872.6,1.82372,1.68845,1.26032,0.71255,0.69594,0.71748,0.32512,2.01971,1.76655,1.35599,0.000267751,0.000267751,0.000267751
25,10908,1.80131,1.63525,1.27828,0.80902,0.62398,0.74128,0.33614,2.02463,1.76744,1.33633,0.000231088,0.000231088,0.000231088
26,10943.6,1.75008,1.58263,1.26203,0.81859,0.70454,0.77709,0.34453,1.99751,1.67655,1.32608,0.000194425,0.000194425,0.000194425
27,10979.8,1.72593,1.55271,1.22019,0.8096,0.71061,0.78931,0.34563,2.05311,1.66254,1.34942,0.000157762,0.000157762,0.000157762
28,11015.5,1.76817,1.57522,1.27311,0.8192,0.69453,0.77563,0.34451,2.04984,1.616,1.35536,0.000121099,0.000121099,0.000121099
29,11050.6,1.67322,1.47622,1.22153,0.84619,0.71243,0.78885,0.35996,2.07124,1.59695,1.3596,8.4436e-05,8.4436e-05,8.4436e-05
30,11086.6,1.7112,1.54214,1.23028,0.81519,0.71842,0.7737,0.34964,2.06516,1.56972,1.35984,4.7773e-05,4.7773e-05,4.7773e-05
