epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6628,2.0335,4.36763,1.59739,0.00472,0.17619,0.02154,0.00778,1.71292,9.77652,1.61356,0.00036526,0.00036526,0.00036526
2,196.841,2.04316,3.59055,1.59866,0.64672,0.05062,0.05317,0.01844,2.09895,9.90244,2.0695,0.000706464,0.000706464,0.000706464
3,298.868,2.15168,3.72491,1.7208,0.64806,0.07701,0.04892,0.01543,2.22255,10.1543,2.28766,0.00101834,0.00101834,0.00101834
4,397.407,2.12027,3.49827,1.73759,0.62152,0.09447,0.05457,0.01943,2.13501,10.1286,2.26394,0.000979013,0.000979013,0.000979013
5,495.972,2.225,3.47158,1.75846,0.69892,0.04608,0.05668,0.02037,2.08394,5.77058,1.95672,0.000935018,0.000935018,0.000935018
6,595.689,2.15607,3.89531,1.72653,0.57603,0.12741,0.06687,0.01816,2.28459,6.64895,2.05776,0.000891022,0.000891022,0.000891022
7,693.679,2.09811,3.26623,1.67663,0.48472,0.15405,0.07276,0.02752,1.90559,5.24852,1.85041,0.000847026,0.000847026,0.000847026
8,793.278,1.98041,2.94391,1.61619,0.561,0.12253,0.08835,0.02919,1.99281,5.34673,1.82642,0.000803031,0.000803031,0.000803031
9,894.214,2.08735,2.9513,1.65147,0.59063,0.14557,0.12155,0.04139,1.87318,4.5208,1.78465,0.000759035,0.000759035,0.000759035
10,992.926,2.03629,2.86224,1.60764,0.46094,0.17365,0.13809,0.05067,1.79712,4.8831,1.70543,0.00071504,0.00071504,0.00071504
11,1093.81,1.93042,2.77316,1.59163,0.55487,0.20426,0.11912,0.04202,1.78003,5.98449,1.70734,0.000671044,0.000671044,0.000671044
12,1193.65,1.98056,2.69036,1.59287,0.33851,0.18904,0.1823,0.05246,1.8855,4.60816,1.74653,0.000627048,0.000627048,0.000627048
13,1292.65,1.9248,2.6571,1.51293,0.32361,0.28862,0.20165,0.07182,1.77139,4.6105,1.67219,0.000583053,0.000583053,0.000583053
14,1392.58,1.88218,2.71237,1.5614,0.49331,0.24961,0.2,0.08678,1.76777,3.51663,1.66724,0.000539057,0.000539057,0.000539057
15,1491.37,1.86867,2.52861,1.51882,0.54671,0.25401,0.19457,0.09095,1.7451,4.22917,1.66296,0.000495062,0.000495062,0.000495062
16,1590.25,1.88353,2.69062,1.54092,0.49992,0.20791,0.24418,0.09605,1.78456,4.27272,1.66457,0.000451066,0.000451066,0.000451066
17,1701.14,1.90143,2.57285,1.51661,0.25472,0.30056,0.23576,0.09834,1.69069,3.37311,1.61469,0.00040707,0.00040707,0.00040707
18,1808.21,1.77945,2.52415,1.48664,0.32973,0.37016,0.29272,0.12177,1.66787,4.06451,1.59639,0.000363075,0.000363075,0.000363075
19,1905.23,1.80339,2.39433,1.47474,0.44579,0.31545,0.31102,0.13732,1.62114,3.19632,1.58809,0.000319079,0.000319079,0.000319079
20,1998.1,1.72431,2.08203,1.42418,0.5233,0.39384,0.39017,0.15333,1.67504,4.34059,1.62421,0.000275084,0.000275084,0.000275084
21,2093.58,1.77035,2.23312,1.43134,0.61621,0.413,0.4279,0.17451,1.64728,3.08921,1.60864,0.000231088,0.000231088,0.000231088
22,2187.51,1.70809,2.08989,1.39313,0.56329,0.40162,0.42605,0.16755,1.60968,3.71209,1.56532,0.000187092,0.000187092,0.000187092
23,2281.44,1.71607,2.13792,1.42801,0.48905,0.55661,0.49022,0.20337,1.62725,2.91717,1.59829,0.000143097,0.000143097,0.000143097
24,2377.09,1.62879,1.96363,1.36238,0.52818,0.58341,0.51329,0.21214,1.58563,2.83122,1.56713,9.91012e-05,9.91012e-05,9.91012e-05
25,2477.3,1.66602,1.95304,1.40608,0.55329,0.58463,0.52348,0.2315,1.59167,3.11111,1.56547,5.51056e-05,5.51056e-05,5.51056e-05
