epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1509,2.85909,5.79256,1.91016,7e-05,0.02176,0.00037,4e-05,2.71458,6.149,1.66331,0.000351817,0.000351817,0.000351817
2,90.9764,2.57422,4.45982,1.57848,0.00011,0.02866,0.00161,0.00035,2.4591,5.42046,1.5617,0.000707851,0.000707851,0.000707851
3,134.024,2.30895,4.01096,1.49797,0.00072,0.18223,0.03712,0.00794,2.51247,5.37067,1.68122,0.00104922,0.00104922,0.00104922
4,179.354,2.48858,3.89427,1.54319,0.00061,0.1471,0.03169,0.01401,2.66443,5.1465,1.77005,0.00104501,0.00104501,0.00104501
5,227.03,2.42825,3.68225,1.58036,0.53228,0.02866,0.13795,0.049,2.40259,4.25592,1.59214,0.00102301,0.00102301,0.00102301
6,297.78,2.34759,3.52921,1.47214,0.59901,0.18834,0.12669,0.04435,2.61147,3.94363,1.73969,0.00100101,0.00100101,0.00100101
7,346.437,2.30675,3.33817,1.48553,0.53807,0.21795,0.15495,0.05457,2.41693,4.81188,1.64208,0.000979013,0.000979013,0.000979013
8,395.332,2.22602,2.97303,1.4724,0.56568,0.25595,0.26592,0.10471,2.42973,4.14551,1.70135,0.000957015,0.000957015,0.000957015
9,433.911,2.24505,2.89411,1.44179,0.39613,0.30492,0.31734,0.13347,2.27931,3.11974,1.58527,0.000935018,0.000935018,0.000935018
10,466.822,2.23602,2.84756,1.48381,0.61492,0.19479,0.27348,0.09705,2.42527,3.76119,1.61257,0.00091302,0.00091302,0.00091302
11,501.554,2.20191,2.65668,1.45893,0.40596,0.42567,0.34861,0.15513,2.40186,2.9897,1.59115,0.000891022,0.000891022,0.000891022
12,535.734,2.16817,2.60839,1.43859,0.42702,0.33228,0.30911,0.11703,2.40568,3.07073,1.66092,0.000869024,0.000869024,0.000869024
